layer_name,ARG0,ARG1,ARG2,neg,time
embedding,0.62,0.86,0.66,0.94,0.94
layer_1,0.78,0.86,0.74,0.94,0.96
layer_2,0.76,0.84,0.72,0.94,1.0
layer_3,0.8,0.86,0.78,0.94,1.0
layer_4,0.86,0.9,0.76,0.96,0.96
layer_5,0.84,0.9,0.72,0.96,0.98
layer_6,0.9,0.9,0.72,0.96,0.98
layer_7,0.86,0.92,0.72,0.96,1.0
layer_8,0.84,0.9,0.78,0.96,1.0
layer_9,0.84,0.88,0.78,0.96,1.0
layer_10,0.86,0.92,0.72,0.96,0.98
layer_11,0.9,0.92,0.8,0.96,0.98
layer_12,0.86,0.92,0.8,0.96,1.0
