language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
es-ES,8,layer_8,time,0.96,0.6666666666666666,1272,50,182,3
es-ES,9,layer_9,ARG0,0.8,0.7222222222222222,1272,50,390,19
es-ES,9,layer_9,ARG1,0.86,0.9230769230769231,1272,50,1071,43
es-ES,9,layer_9,ARG2,0.68,0.75,1272,50,820,33
es-ES,9,layer_9,neg,0.94,0.0,1272,50,53,3
es-ES,9,layer_9,time,0.94,0.5714285714285714,1272,50,182,3
es-ES,10,layer_10,ARG0,0.72,0.65,1272,50,390,19
es-ES,10,layer_10,ARG1,0.9,0.945054945054945,1272,50,1071,43
es-ES,10,layer_10,ARG2,0.66,0.7213114754098361,1272,50,820,33
es-ES,10,layer_10,neg,0.94,0.0,1272,50,53,3
es-ES,10,layer_10,time,0.94,0.5714285714285714,1272,50,182,3
es-ES,11,layer_11,ARG0,0.8,0.75,1272,50,390,19
es-ES,11,layer_11,ARG1,0.88,0.9347826086956522,1272,50,1071,43
es-ES,11,layer_11,ARG2,0.74,0.7936507936507936,1272,50,820,33
es-ES,11,layer_11,neg,0.94,0.0,1272,50,53,3
es-ES,11,layer_11,time,0.92,0.3333333333333333,1272,50,182,3
es-ES,12,layer_12,ARG0,0.82,0.7692307692307693,1272,50,390,19
es-ES,12,layer_12,ARG1,0.88,0.9347826086956522,1272,50,1071,43
es-ES,12,layer_12,ARG2,0.78,0.835820895522388,1272,50,820,33
es-ES,12,layer_12,neg,0.94,0.0,1272,50,53,3
es-ES,12,layer_12,time,0.96,0.5,1272,50,182,3
fr-FR,0,embedding,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,0,embedding,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,0,embedding,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,0,embedding,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,0,embedding,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,1,layer_1,ARG0,0.6470588235294118,0.25,1264,51,379,20
fr-FR,1,layer_1,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,1,layer_1,ARG2,0.6078431372549019,0.7560975609756098,1264,51,805,33
fr-FR,1,layer_1,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,1,layer_1,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,2,layer_2,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,2,layer_2,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,2,layer_2,ARG2,0.6078431372549019,0.7560975609756098,1264,51,805,33
