,english_avg_layer,non_english_avg_layer,layer_difference,english_avg_accuracy,non_english_avg_accuracy,accuracy_difference
ARG0,0.0,5.098039215686274,5.098039215686274,0.62,0.6336255286428296,0.01362552864282962
ARG1,0.0,0.19607843137254902,0.19607843137254902,0.86,0.8612841214917341,0.0012841214917340693
ARG2,1.0,4.705882352941177,3.7058823529411766,0.68,0.6935870818915802,0.0135870818915802
neg,0.0,0.0,0.0,0.94,0.940046136101499,4.613610149906133e-05
time,0.0,0.0,0.0,0.94,0.940046136101499,4.613610149906133e-05
