,english_avg_layer,non_english_avg_layer,layer_difference,english_avg_accuracy,non_english_avg_accuracy,accuracy_difference
ARG0,6.0,7.117647058823529,1.117647058823529,0.82,0.7887812379853903,-0.031218762014609602
ARG1,0.0,4.666666666666667,4.666666666666667,0.86,0.8777239523260286,0.017723952326028636
ARG2,2.0,5.705882352941177,3.7058823529411766,0.7,0.7300269127258746,0.030026912725874655
neg,12.0,1.7058823529411764,-10.294117647058824,0.96,0.9455363321799306,-0.01446366782006936
time,5.0,3.980392156862745,-1.0196078431372548,1.0,0.9545405613225683,-0.04545943867743174
