layer_name,ARG0,ARG1,ARG2,neg,time
embedding,0.6195234435049961,0.8601076095311299,0.6594926979246734,0.9400461183704842,0.9400461183704842
layer_1,0.6975403535741738,0.8589546502690238,0.6687163720215219,0.9400461183704842,0.9388931591083781
layer_2,0.6533435818601077,0.8608762490392006,0.675249807840123,0.9400461183704842,0.9400461183704842
layer_3,0.7106072252113759,0.8593389700230591,0.680630284396618,0.9400461183704842,0.9400461183704842
layer_4,0.6940814757878555,0.8601076095311299,0.6813989239046887,0.9400461183704842,0.9400461183704842
layer_5,0.6421983089930823,0.8601076095311299,0.6771714066102997,0.9400461183704842,0.9400461183704842
layer_6,0.6191391237509608,0.8601076095311299,0.675249807840123,0.9400461183704842,0.9400461183704842
layer_7,0.6195234435049961,0.8601076095311299,0.6594926979246734,0.9400461183704842,0.9400461183704842
layer_8,0.6295157571099155,0.8597232897770946,0.6637202152190622,0.9400461183704842,0.9400461183704842
layer_9,0.6245196003074558,0.8589546502690238,0.6614142966948501,0.9400461183704842,0.9400461183704842
layer_10,0.6548808608762491,0.8601076095311299,0.6644888547271329,0.9400461183704842,0.9400461183704842
layer_11,0.6452728670253651,0.8608762490392006,0.6733282090699462,0.9400461183704842,0.9400461183704842
layer_12,0.7843966179861644,0.857033051498847,0.7267486548808608,0.9392774788624135,0.9469638739431206
