language,feature,best_layer,best_layer_name,best_accuracy,best_f1
nb-NO,time,10,layer_10,0.98,0.8
ar-SA,ARG0,5,layer_5,0.78,0.6451612903225806
ar-SA,ARG1,5,layer_5,0.88,0.9347826086956522
ar-SA,ARG2,5,layer_5,0.8,0.8529411764705882
ar-SA,neg,0,embedding,0.94,0.0
ar-SA,time,7,layer_7,0.98,0.8
th-TH,ARG0,4,layer_4,0.72,0.46153846153846156
th-TH,ARG1,1,layer_1,0.88,0.9347826086956522
th-TH,ARG2,5,layer_5,0.76,0.8461538461538461
th-TH,neg,0,embedding,0.94,0.0
th-TH,time,6,layer_6,0.98,0.8
hu-HU,ARG0,6,layer_6,0.82,0.7428571428571429
hu-HU,ARG1,12,layer_12,0.88,0.9333333333333333
hu-HU,ARG2,4,layer_4,0.7,0.8148148148148148
hu-HU,neg,0,embedding,0.94,0.0
hu-HU,time,5,layer_5,0.96,0.5
jv-ID,ARG0,10,layer_10,0.74,0.6666666666666666
jv-ID,ARG1,12,layer_12,0.9,0.945054945054945
jv-ID,ARG2,7,layer_7,0.72,0.8
jv-ID,neg,0,embedding,0.94,0.0
jv-ID,time,0,embedding,0.94,0.0
en-US,ARG0,6,layer_6,0.82,0.7567567567567568
en-US,ARG1,0,embedding,0.86,0.9247311827956989
en-US,ARG2,2,layer_2,0.7,0.8148148148148148
en-US,neg,12,layer_12,0.96,0.5
en-US,time,5,layer_5,1.0,1.0
sl-SL,ARG0,6,layer_6,0.8,0.7058823529411765
sl-SL,ARG1,6,layer_6,0.88,0.9347826086956522
sl-SL,ARG2,11,layer_11,0.76,0.8285714285714286
sl-SL,neg,8,layer_8,0.96,0.5
sl-SL,time,0,embedding,0.94,0.0
ko-KR,ARG0,4,layer_4,0.66,0.19047619047619047
ko-KR,ARG1,0,embedding,0.86,0.9247311827956989
ko-KR,ARG2,1,layer_1,0.76,0.8421052631578947
ko-KR,neg,0,embedding,0.94,0.0
ko-KR,time,0,embedding,0.94,0.0
ml-IN,ARG0,6,layer_6,0.82,0.7804878048780488
ml-IN,ARG1,0,embedding,0.86,0.9247311827956989
ml-IN,ARG2,8,layer_8,0.72,0.78125
ml-IN,neg,0,embedding,0.94,0.0
ml-IN,time,7,layer_7,0.96,0.6666666666666666
cy-GB,ARG0,6,layer_6,0.82,0.7567567567567568
