language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
es-ES,4,layer_4,time,0.94,0.0,1272,50,182,3
es-ES,5,layer_5,ARG0,0.62,0.0,1272,50,390,19
es-ES,5,layer_5,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,5,layer_5,ARG2,0.68,0.8048780487804879,1272,50,820,33
es-ES,5,layer_5,neg,0.94,0.0,1272,50,53,3
es-ES,5,layer_5,time,0.94,0.0,1272,50,182,3
es-ES,6,layer_6,ARG0,0.62,0.0,1272,50,390,19
es-ES,6,layer_6,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,6,layer_6,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,6,layer_6,neg,0.94,0.0,1272,50,53,3
es-ES,6,layer_6,time,0.94,0.0,1272,50,182,3
es-ES,7,layer_7,ARG0,0.62,0.0,1272,50,390,19
es-ES,7,layer_7,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,7,layer_7,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,7,layer_7,neg,0.94,0.0,1272,50,53,3
es-ES,7,layer_7,time,0.94,0.0,1272,50,182,3
es-ES,8,layer_8,ARG0,0.62,0.0,1272,50,390,19
es-ES,8,layer_8,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,8,layer_8,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,8,layer_8,neg,0.94,0.0,1272,50,53,3
es-ES,8,layer_8,time,0.94,0.0,1272,50,182,3
es-ES,9,layer_9,ARG0,0.62,0.0,1272,50,390,19
es-ES,9,layer_9,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,9,layer_9,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,9,layer_9,neg,0.94,0.0,1272,50,53,3
es-ES,9,layer_9,time,0.94,0.0,1272,50,182,3
es-ES,10,layer_10,ARG0,0.62,0.0,1272,50,390,19
es-ES,10,layer_10,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,10,layer_10,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,10,layer_10,neg,0.94,0.0,1272,50,53,3
es-ES,10,layer_10,time,0.94,0.0,1272,50,182,3
es-ES,11,layer_11,ARG0,0.62,0.0,1272,50,390,19
es-ES,11,layer_11,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,11,layer_11,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,11,layer_11,neg,0.94,0.0,1272,50,53,3
es-ES,11,layer_11,time,0.94,0.0,1272,50,182,3
es-ES,12,layer_12,ARG0,0.62,0.0,1272,50,390,19
es-ES,12,layer_12,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,12,layer_12,ARG2,0.66,0.7848101265822784,1272,50,820,33
es-ES,12,layer_12,neg,0.94,0.0,1272,50,53,3
es-ES,12,layer_12,time,0.94,0.0,1272,50,182,3
fr-FR,0,embedding,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,0,embedding,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,0,embedding,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,0,embedding,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,0,embedding,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,1,layer_1,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,1,layer_1,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,1,layer_1,ARG2,0.6470588235294118,0.775,1264,51,805,33
